iter	Logloss	Accuracy	Precision	Recall	F1
0	0.6805974055	0.9430478734	0.9430478734	1	0.9706892828
1	0.6684162093	0.9430478734	0.9430478734	1	0.9706892828
2	0.6567132345	0.9430478734	0.9430478734	1	0.9706892828
3	0.6453138275	0.9430478734	0.9430478734	1	0.9706892828
4	0.6341134562	0.9430478734	0.9430478734	1	0.9706892828
5	0.6233007808	0.9430478734	0.9430478734	1	0.9706892828
6	0.6127734239	0.9430478734	0.9430478734	1	0.9706892828
7	0.6025183564	0.9430478734	0.9430478734	1	0.9706892828
8	0.5923653451	0.9430478734	0.9430478734	1	0.9706892828
9	0.58259645	0.9430478734	0.9430478734	1	0.9706892828
10	0.5731127754	0.9430478734	0.9430478734	1	0.9706892828
11	0.563547483	0.9430478734	0.9430478734	1	0.9706892828
12	0.5540079361	0.9430478734	0.9430478734	1	0.9706892828
13	0.545131895	0.9430478734	0.9430478734	1	0.9706892828
14	0.5366521239	0.9430478734	0.9430478734	1	0.9706892828
15	0.5283975964	0.9430478734	0.9430478734	1	0.9706892828
16	0.520270556	0.9430478734	0.9430478734	1	0.9706892828
17	0.5124512137	0.9430478734	0.9430478734	1	0.9706892828
18	0.5048402686	0.9430478734	0.9430478734	1	0.9706892828
19	0.4972621633	0.9430478734	0.9430478734	1	0.9706892828
20	0.4898786918	0.9430478734	0.9430478734	1	0.9706892828
21	0.4828676121	0.9430478734	0.9430478734	1	0.9706892828
22	0.4758676554	0.9430478734	0.9430478734	1	0.9706892828
23	0.469229408	0.9430478734	0.9430478734	1	0.9706892828
24	0.4627693806	0.9430478734	0.9430478734	1	0.9706892828
25	0.4560365323	0.9430478734	0.9430478734	1	0.9706892828
26	0.4496120874	0.9430478734	0.9430478734	1	0.9706892828
27	0.4434824206	0.9430478734	0.9430478734	1	0.9706892828
28	0.4377022115	0.9430478734	0.9430478734	1	0.9706892828
29	0.4318237611	0.9430478734	0.9430478734	1	0.9706892828
30	0.425898779	0.9430478734	0.9430478734	1	0.9706892828
31	0.4200724224	0.9430478734	0.9430478734	1	0.9706892828
32	0.4140034474	0.9430478734	0.9430478734	1	0.9706892828
33	0.4088281355	0.9430478734	0.9430478734	1	0.9706892828
34	0.4034358924	0.9430478734	0.9430478734	1	0.9706892828
35	0.3987014518	0.9430478734	0.9430478734	1	0.9706892828
