iter	Passed	Remaining
0	153	15157
1	297	14580
2	415	13440
3	535	12862
4	774	14708
5	815	12775
6	979	13007
7	1185	13630
8	1422	14383
9	1583	14251
10	1719	13909
11	1810	13279
12	1870	12518
13	1926	11835
14	1966	11146
15	2014	10576
16	2205	10770
17	2315	10547
18	2358	10054
19	2423	9695
20	2489	9366
21	2551	9045
22	2622	8778
23	2656	8412
24	2718	8155
25	2845	8097
26	2898	7836
27	3036	7806
28	3168	7757
29	3335	7783
30	3571	7949
31	3693	7847
32	3771	7657
33	3823	7421
34	3958	7352
35	3997	7106
36	4085	6957
37	4278	6980
38	4375	6843
39	4507	6761
40	4640	6677
41	4731	6533
42	4792	6353
43	4930	6274
44	5025	6142
45	5090	5975
46	5188	5850
47	5279	5719
48	5368	5587
49	5483	5483
50	5660	5438
51	5737	5296
52	5798	5141
53	5858	4990
54	5903	4830
55	5968	4689
56	6037	4554
57	6172	4469
58	6250	4343
59	6378	4252
60	6440	4117
61	6502	3985
62	6558	3851
63	6619	3723
64	6678	3595
65	6759	3482
66	6802	3350
67	6894	3244
68	6973	3132
69	7144	3061
70	7227	2952
71	7335	2852
72	7420	2744
73	7575	2661
74	7682	2560
75	7885	2490
76	8022	2396
77	8168	2303
78	8272	2199
79	8359	2089
80	8441	1980
81	8580	1883
82	8807	1804
83	8983	1711
84	9199	1623
85	9372	1525
86	9482	1416
87	9657	1316
88	9804	1211
89	9900	1100
90	10020	991
91	10116	879
92	10216	769
93	10364	661
94	10444	549
95	10506	437
96	10563	326
97	10609	216
98	10653	107
99	10721	0
